ID	Status	Name	Price	Description	Type	Voltage	Current	Power	Resistance	Package	Logic
5946	on stock	IRFP3710	186.19	N-MOSFET 100V 57A 0,025R 200W TO-247	N-MOSFET	100	57	200W	0,025R	TO-247	
28031		IRFP4229	395.33	N-MOSFET 250V 44A 310W 0,046R TO-247	N-MOSFET	250	44	310W	0,046R	TO-247	
1753	on stock	IRFP450	230.65	N-MOSFET 500V 14A 190W 0,4R TO247AC	N-MOSFET	500	14	190W	0,4R	TO-247AC	
2523	on stock	IRFP460	318	N-MOSFET 500V 20A 280W 0,27R TO247AC	N-MOSFET	500	20	280W	0,27R	TO-247AC	
33469		IRFP460A	294	N-MOSFET 500V 20A 280W 0,27R TO247AC	N-MOSFET	500	20	280W	0,27R	TO-247AC	
39548		IRFP9140N	129.77								
4429	on stock	IRFP9240	212.32	P-MOSFET 200V 12A 150W 0,5R TO-247	P-MOSFET	200	12	150W	0,5R	TO-247	
1267	on stock	IRFPC50	320.11	N-MOSFET 600V 11A 80W 0,6R TO-247	N-MOSFET	600	11	80W	0,6R	TO-247	
4149	on stock	IRFPC60	448.56	N-MOSFET 600V 16A 280W 0,4R TO247AC	N-MOSFET	600	16	280W	0,4R	TO-247AC	
4142		IRFPE50	339.43	N-MOSFET 800V 7,8A 190W 1,2R TO247AC	N-MOSFET	800	7.8	190W	1,2R	TO-247AC	
4143		IRFPF50	311.4	N-MOSFET 900V, 6,7A, 190W, <1,6R TO-247	N-MOSFET	900	6.7	190W,	<1,6R	TO-247	
36839		IRFPG30	403.2	N-MOSFET 1000V 3,1A 125W 5R TO247AC	N-MOSFET	1000	3.1	125W	5R	TO-247AC	
4144	on stock	IRFPG40	415.57	N-MOSFET 1000V 4,3A 150W 3,5R TO247AC	N-MOSFET	1000	4.3	150W	3,5R	TO-247AC	
4145		IRFPG50	362.64	N-MOSFET 1000V 3,9A 190W 2R TO247AC	N-MOSFET	1000	3.9	190W	2R	TO-247AC	
37045		IRFPS37N50APBF	770.12								
4493		IRFR024N	60.41	N-MOSFET 55V 16A 38W TO-252A	N-MOSFET	55	16	38W		DPAK	
15845	on stock	IRFR1205 (TO252)	69.29	N-MOSFET 55V 37A 69W 0,02R D-PAK	N-MOSFET	55	37	69W	0,02R	DPAK	
30350		IRFR3709Z (TO252)	100.66	N-MOSFET 30V 86A 79W 0,065R D-PAK	N-MOSFET	30	86	79W	0,065R	DPAK	
20800	on stock	IRFR5305 (TO252)	85.85	P-MOSFET 55V 31A 110W 0,065R TO252AA	P-MOSFET	55	31	110W	0,065R	DPAK	
23067	on stock	IRFR9120N (TO252)	64.54	P-MOSFET 100V 6,6A 40W 0,48R TO252AA	P-MOSFET	100	6.6	40W	0,48R	DPAK	
39111		IRFS3107PBF	475.07								
27207		IRFS630	68.72								
24530		IRFZ24N	100	N-MOSFET 55V 17A 45W 0,07R TO220AB	N-MOSFET	55	17	45W	0,07R	TO-220AB	
1253	on stock	IRFZ44N	78	N-MOSFET 55V 49A 94W 0,0175R TO220AB	N-MOSFET	55	49	94W	0,0175R	TO-220AB	
10796	on stock	IRFZ44NS (TO263)	103.68	N-MOSFET 55V 49A 94W 0,0175R D2Pak	N-MOSFET	55	49	94W	0,0175R	D2PAK	
20621		IRFZ44R	324	N-MOSFET 60V 50A 94W TO-220	N-MOSFET	60	50	94W		TO-220	
35467		IRFZ44VPBF	82.4								
2525		IRFZ46	85.75	N-MOSFET 55V 53A 107W 0,0165R TO220AB	N-MOSFET	55	53	107W	0,0165R	TO-220AB	
24205	on stock	IRFZ46N	96	N-MOSFET 55V 53A 107W 0,0165R TO220AB	N-MOSFET	55	53	107W	0,0165R	TO-220AB	
2524		IRFZ48	79.58	N-MOSFET 55V 64A 130W 0,014R TO-220	N-MOSFET	55	64	130W	0,014R	TO-220	
23463	on stock	IRFZ48N	102	N-MOSFET 55V 64A 130W 0,014R TO-220	N-MOSFET	55	64	130W	0,014R	TO-220	
30335	on stock	IRFZ48NS (TO263)	103.04	N-MOSFET 55V 64A 130W 0,014R D2Pak	N-MOSFET	55	64	130W	0,014R	D2PAK	
